simulated_period,simulated_disaster,year,month,day,date,region,pa_projects,ia_registrations
4,201,2021,7,25,2021-07-25,8,23,0
4,202,2021,7,26,2021-07-26,9,49,0
4,203,2021,7,28,2021-07-28,6,151,0
4,204,2021,8,9,2021-08-09,7,231,0
4,205,2021,8,13,2021-08-13,6,1213,30345
4,206,2021,8,24,2021-08-24,9,351,0
4,207,2021,9,3,2021-09-03,9,300,0
4,208,2021,9,6,2021-09-06,5,21,0
4,209,2021,9,6,2021-09-06,8,297,0
4,210,2021,9,11,2021-09-11,9,119,0
4,211,2021,9,22,2021-09-22,4,1575,0
4,212,2021,9,24,2021-09-24,2,764,27453
4,213,2021,10,2,2021-10-02,1,652,5220
4,214,2021,10,20,2021-10-20,6,100,0
4,215,2021,10,26,2021-10-26,5,1642,20800
4,216,2021,10,30,2021-10-30,6,102,0
4,217,2021,11,6,2021-11-06,9,89,0
4,218,2021,11,16,2021-11-16,7,23,0
4,219,2021,11,17,2021-11-17,4,78,3019
4,220,2021,12,6,2021-12-06,4,81,0
4,221,2022,1,14,2022-01-14,2,3738,109225
4,222,2022,1,24,2022-01-24,4,232,0
4,223,2022,1,27,2022-01-27,3,50,0
4,224,2022,2,9,2022-02-09,4,0,2334
4,225,2022,2,11,2022-02-11,10,147,0
4,226,2022,2,14,2022-02-14,7,93,0
4,227,2022,2,18,2022-02-18,5,419,0
4,228,2022,2,20,2022-02-20,7,24,0
5,229,2021,2,23,2021-02-23,7,959,0
5,230,2021,3,15,2021-03-15,9,553,0
5,231,2021,3,18,2021-03-18,3,524,4256
5,232,2021,3,25,2021-03-25,5,0,4046
5,233,2021,3,26,2021-03-26,5,1671,27278
5,234,2021,4,1,2021-04-01,7,55,0
5,235,2021,4,15,2021-04-15,9,32,0
5,236,2021,4,18,2021-04-18,3,26,131
5,237,2021,4,21,2021-04-21,9,45,0
5,238,2021,5,1,2021-05-01,9,52,0
5,239,2021,5,4,2021-05-04,4,46,0
5,240,2021,5,8,2021-05-08,6,20,0
5,241,2021,5,14,2021-05-14,1,641,0
5,242,2021,5,15,2021-05-15,1,101,0
5,243,2021,5,22,2021-05-22,10,59,0
5,244,2021,5,23,2021-05-23,6,345,0
5,245,2021,5,27,2021-05-27,6,12,0
5,246,2021,5,27,2021-05-27,6,136,5992
5,247,2021,5,27,2021-05-27,6,426,0
5,248,2021,6,2,2021-06-02,5,142,0
5,249,2021,6,4,2021-06-04,1,834,0
5,250,2021,6,6,2021-06-06,9,116,0
5,251,2021,6,16,2021-06-16,1,11933,709
5,252,2021,6,18,2021-06-18,7,183,0
5,253,2021,6,27,2021-06-27,1,860,0
5,254,2021,6,28,2021-06-28,4,12,0
5,255,2021,7,1,2021-07-01,8,167,0
5,256,2021,7,3,2021-07-03,6,41,0
5,257,2021,7,5,2021-07-05,4,1800,51017
5,258,2021,7,7,2021-07-07,4,166,0
5,259,2021,7,10,2021-07-10,3,220,2141
5,260,2021,7,12,2021-07-12,4,0,6773
5,261,2021,7,13,2021-07-13,1,74,0
5,262,2021,7,15,2021-07-15,8,41,0
5,263,2021,7,16,2021-07-16,2,87,0
5,264,2021,7,21,2021-07-21,4,176,0
5,265,2021,8,8,2021-08-08,2,65,0
5,266,2021,8,27,2021-08-27,6,865,1289
5,267,2021,8,29,2021-08-29,7,407,9009
5,268,2021,9,1,2021-09-01,6,1041,25974
5,269,2021,9,6,2021-09-06,4,342,0
