simulated_period,simulated_disaster,year,month,day,date,region,pa_projects
5,265,2021,9,7,2021-09-07,10,1549
5,266,2021,9,8,2021-09-08,10,45
5,267,2021,9,16,2021-09-16,10,25
5,268,2021,9,19,2021-09-19,8,398
5,269,2021,9,19,2021-09-19,10,124
5,270,2021,10,17,2021-10-17,6,41
5,271,2021,10,17,2021-10-17,6,433
5,272,2021,10,25,2021-10-25,6,59
5,273,2021,11,15,2021-11-15,9,4
5,274,2021,11,22,2021-11-22,4,1885
5,275,2021,12,8,2021-12-08,8,0
5,276,2021,12,23,2021-12-23,6,35
5,277,2022,1,16,2022-01-16,8,174
5,278,2022,1,17,2022-01-17,4,77
6,279,2021,1,20,2021-01-20,4,474
6,280,2021,1,25,2021-01-25,7,276
6,281,2021,1,29,2021-01-29,4,1377
6,282,2021,2,5,2021-02-05,3,0
6,283,2021,2,9,2021-02-09,10,18
6,284,2021,2,11,2021-02-11,1,127
6,285,2021,2,14,2021-02-14,4,93
6,286,2021,2,18,2021-02-18,5,2212
6,287,2021,3,8,2021-03-08,2,547
6,288,2021,3,14,2021-03-14,2,985
6,289,2021,3,18,2021-03-18,2,124
6,290,2021,3,21,2021-03-21,6,303
6,291,2021,3,29,2021-03-29,9,542
6,292,2021,4,12,2021-04-12,4,71
6,293,2021,4,20,2021-04-20,4,6102
6,294,2021,4,27,2021-04-27,4,60
6,295,2021,6,3,2021-06-03,4,107
6,296,2021,6,11,2021-06-11,7,696
6,297,2021,6,22,2021-06-22,7,173
6,298,2021,6,28,2021-06-28,4,10
6,299,2021,7,2,2021-07-02,6,620
6,300,2021,7,4,2021-07-04,4,2975
6,301,2021,7,6,2021-07-06,4,132
6,302,2021,7,8,2021-07-08,4,12
6,303,2021,7,11,2021-07-11,6,146
6,304,2021,7,11,2021-07-11,9,375
6,305,2021,7,15,2021-07-15,1,209
6,306,2021,7,17,2021-07-17,4,278
6,307,2021,7,27,2021-07-27,3,193
6,308,2021,7,31,2021-07-31,4,240
6,309,2021,8,6,2021-08-06,10,47
6,310,2021,8,17,2021-08-17,5,100
6,311,2021,9,2,2021-09-02,7,245
6,312,2021,9,3,2021-09-03,6,245
6,313,2021,9,5,2021-09-05,6,526
6,314,2021,9,8,2021-09-08,6,45
6,315,2021,9,8,2021-09-08,9,472
6,316,2021,9,9,2021-09-09,6,341
6,317,2021,9,18,2021-09-18,6,46
6,318,2021,9,18,2021-09-18,6,161
6,319,2021,9,20,2021-09-20,6,334
6,320,2021,9,20,2021-09-20,6,749
6,321,2021,9,22,2021-09-22,7,147
6,322,2021,9,25,2021-09-25,9,123
6,323,2021,9,30,2021-09-30,4,100
6,324,2021,10,9,2021-10-09,8,0
6,325,2021,10,21,2021-10-21,8,16
6,326,2021,11,13,2021-11-13,6,246
6,327,2021,11,15,2021-11-15,4,95
6,328,2021,11,16,2021-11-16,6,32
6,329,2021,11,17,2021-11-17,9,16
6,330,2021,11,27,2021-11-27,4,22
6,331,2021,12,6,2021-12-06,6,1297
6,332,2021,12,13,2021-12-13,10,13
6,333,2022,1,4,2022-01-04,7,10
6,334,2022,1,4,2022-01-04,9,27
6,335,2022,1,7,2022-01-07,6,285
6,336,2022,1,7,2022-01-07,9,26
6,337,2022,1,9,2022-01-09,10,45
6,338,2022,1,12,2022-01-12,6,85
6,339,2022,1,14,2022-01-14,9,260
7,340,2021,1,23,2021-01-23,3,211
7,341,2021,1,28,2021-01-28,7,0
7,342,2021,2,25,2021-02-25,3,114
7,343,2021,3,1,2021-03-01,4,1417
7,344,2021,3,2,2021-03-02,4,850
7,345,2021,3,5,2021-03-05,9,59
7,346,2021,3,7,2021-03-07,4,141
7,347,2021,3,10,2021-03-10,7,4320
7,348,2021,3,13,2021-03-13,7,230
7,349,2021,3,25,2021-03-25,4,54
7,350,2021,3,27,2021-03-27,7,387
7,351,2021,3,29,2021-03-29,9,0
7,352,2021,4,8,2021-04-08,2,1868
7,353,2021,4,11,2021-04-11,2,2344
7,354,2021,4,11,2021-04-11,4,503
7,355,2021,4,11,2021-04-11,8,69
7,356,2021,4,12,2021-04-12,5,240
7,357,2021,4,24,2021-04-24,7,286
7,358,2021,4,25,2021-04-25,5,878
7,359,2021,4,30,2021-04-30,7,84
7,360,2021,5,1,2021-05-01,3,67
7,361,2021,5,6,2021-05-06,4,3433
7,362,2021,5,18,2021-05-18,4,133
7,363,2021,5,23,2021-05-23,6,488
7,364,2021,5,24,2021-05-24,9,289
7,365,2021,5,27,2021-05-27,6,719
7,366,2021,6,2,2021-06-02,4,87
7,367,2021,6,10,2021-06-10,5,121
7,368,2021,6,12,2021-06-12,7,207
7,369,2021,6,14,2021-06-14,8,182
7,370,2021,6,27,2021-06-27,8,29
7,371,2021,6,28,2021-06-28,7,313
7,372,2021,7,15,2021-07-15,7,41
7,373,2021,7,22,2021-07-22,4,31
7,374,2021,7,27,2021-07-27,4,201
7,375,2021,8,1,2021-08-01,3,340
7,376,2021,8,1,2021-08-01,7,975
7,377,2021,8,5,2021-08-05,1,61
7,378,2021,8,6,2021-08-06,4,382
7,379,2021,8,13,2021-08-13,4,614
7,380,2021,8,24,2021-08-24,1,26
7,381,2021,8,24,2021-08-24,2,911
7,382,2021,9,13,2021-09-13,7,274
7,383,2021,9,13,2021-09-13,7,578
7,384,2021,9,15,2021-09-15,4,2053
7,385,2021,9,23,2021-09-23,9,43
7,386,2021,9,29,2021-09-29,7,549
7,387,2021,9,30,2021-09-30,10,65
7,388,2021,10,10,2021-10-10,1,64
7,389,2021,10,19,2021-10-19,4,372
7,390,2021,10,28,2021-10-28,5,0
7,391,2021,11,3,2021-11-03,1,110
7,392,2021,11,13,2021-11-13,1,371
7,393,2021,11,13,2021-11-13,8,69
7,394,2021,11,16,2021-11-16,2,40
7,395,2021,11,26,2021-11-26,3,220
8,396,2021,1,20,2021-01-20,8,200
8,397,2021,1,21,2021-01-21,10,32
8,398,2021,1,26,2021-01-26,5,76
8,399,2021,1,30,2021-01-30,6,65
8,400,2021,2,2,2021-02-02,8,32
8,401,2021,2,5,2021-02-05,8,105
8,402,2021,2,9,2021-02-09,6,93
8,403,2021,2,15,2021-02-15,7,25
8,404,2021,2,17,2021-02-17,6,231
8,405,2021,2,18,2021-02-18,8,410
8,406,2021,2,20,2021-02-20,8,527
8,407,2021,2,22,2021-02-22,10,491
8,408,2021,2,28,2021-02-28,1,236
8,409,2021,3,11,2021-03-11,10,453
8,410,2021,3,19,2021-03-19,10,34
8,411,2021,3,21,2021-03-21,8,56
8,412,2021,3,29,2021-03-29,4,77
8,413,2021,3,31,2021-03-31,2,108
8,414,2021,4,1,2021-04-01,1,111
8,415,2021,4,2,2021-04-02,4,71
8,416,2021,4,3,2021-04-03,8,28
8,417,2021,4,4,2021-04-04,8,247
8,418,2021,4,7,2021-04-07,4,112
8,419,2021,4,8,2021-04-08,8,52
8,420,2021,4,10,2021-04-10,4,126
8,421,2021,4,10,2021-04-10,9,41
8,422,2021,4,13,2021-04-13,4,228
8,423,2021,4,13,2021-04-13,4,907
8,424,2021,4,13,2021-04-13,5,417
8,425,2021,4,18,2021-04-18,5,7005
8,426,2021,4,20,2021-04-20,5,58
8,427,2021,4,25,2021-04-25,5,572
8,428,2021,4,27,2021-04-27,2,225
8,429,2021,4,27,2021-04-27,5,110
8,430,2021,5,1,2021-05-01,6,240
8,431,2021,5,9,2021-05-09,7,323
