project_id,sent_to_crc_date,project_size,source,status
167934,2021-07-02,Small,pre_crc,pre_crc
167942,2021-02-14,Small,pre_crc,pre_crc
167957,2021-09-02,Small,pre_crc,pre_crc
168071,2021-07-07,Small,pre_crc,pre_crc
167856,2021-02-09,Small,pre_crc,pre_crc
167820,2021-07-17,Small,pre_crc,pre_crc
167772,2021-02-15,Small,pre_crc,pre_crc
167789,2021-05-08,Small,pre_crc,pre_crc
167784,2022-01-13,Small,pre_crc,pre_crc
167794,2021-09-29,Small,pre_crc,pre_crc
167733,2021-02-06,Small,pre_crc,pre_crc
167684,2021-07-17,Small,pre_crc,pre_crc
167671,2021-03-13,Small,pre_crc,pre_crc
145255,2021-06-23,Very Large,pre_crc,pre_crc
145105,2021-07-19,Small,pre_crc,pre_crc
145279,2021-10-04,Large,pre_crc,pre_crc
145267,2021-03-13,Small,pre_crc,pre_crc
145661,2021-11-22,Large,pre_crc,pre_crc
146398,2021-05-02,Small,pre_crc,pre_crc
146302,2021-04-03,Small,pre_crc,pre_crc
146334,2021-07-31,Large,pre_crc,pre_crc
146741,2021-04-22,Large,pre_crc,pre_crc
147885,2023-02-11,Small,pre_crc,pre_crc
147911,2021-03-01,Small,pre_crc,pre_crc
147962,2021-04-11,Large,pre_crc,pre_crc
147924,2021-04-26,Small,pre_crc,pre_crc
148141,2021-03-28,Small,pre_crc,pre_crc
147346,2021-06-17,Large,pre_crc,pre_crc
148589,2021-03-25,Large,pre_crc,pre_crc
148563,2021-05-06,Large,pre_crc,pre_crc
148764,2021-07-11,Small,pre_crc,pre_crc
148756,2021-09-28,Very Large,pre_crc,pre_crc
148312,2021-07-14,Small,pre_crc,pre_crc
148406,2021-08-24,Small,pre_crc,pre_crc
148442,2022-02-25,Small,pre_crc,pre_crc
148499,2021-04-25,Small,pre_crc,pre_crc
148844,2021-01-28,Small,pre_crc,pre_crc
148924,2021-02-01,Large,pre_crc,pre_crc
151481,2022-04-18,Small,pre_crc,pre_crc
151314,2021-04-29,Very Large,pre_crc,pre_crc
151020,2021-04-08,Small,pre_crc,pre_crc
150840,2022-08-08,Small,pre_crc,pre_crc
150370,2021-05-18,Small,pre_crc,pre_crc
150380,2021-06-11,Very Large,pre_crc,pre_crc
150305,2021-01-20,Very Large,pre_crc,pre_crc
150473,2021-02-25,Large,pre_crc,pre_crc
150185,2021-05-23,Large,pre_crc,pre_crc
149799,2021-09-04,Small,pre_crc,pre_crc
149494,2021-07-29,Small,pre_crc,pre_crc
153398,2021-01-27,Small,pre_crc,pre_crc
153187,2021-03-03,Small,pre_crc,pre_crc
153203,2021-11-03,Small,pre_crc,pre_crc
153283,2022-06-25,Small,pre_crc,pre_crc
153120,2021-01-27,Small,pre_crc,pre_crc
153130,2021-05-14,Large,pre_crc,pre_crc
153012,2021-05-20,Small,pre_crc,pre_crc
152900,2021-02-07,Small,pre_crc,pre_crc
153964,2021-07-05,Small,pre_crc,pre_crc
153831,2021-03-06,Large,pre_crc,pre_crc
153870,2022-01-23,Small,pre_crc,pre_crc
153859,2021-07-09,Large,pre_crc,pre_crc
153800,2021-04-15,Small,pre_crc,pre_crc
153451,2021-10-14,Small,pre_crc,pre_crc
153453,2021-03-27,Small,pre_crc,pre_crc
153677,2021-01-20,Small,pre_crc,pre_crc
152360,2021-11-28,Large,pre_crc,pre_crc
152329,2023-11-25,Small,pre_crc,pre_crc
